,bid_price_1,bid_volume_1,bid_price_2,bid_volume_2,bid_price_3,bid_volume_3,ask_price_1,ask_volume_1,ask_price_2,ask_volume_2,ask_price_3,ask_volume_3,mid_price,profit_and_loss,ORCHIDS,TRANSPORT_FEES,EXPORT_TARIFF,IMPORT_TARIFF,SUNLIGHT,HUMIDITY,DAY,total_ask_vol,total_bid_vol,ask_vwap,bid_vwap,spread
24900,1088.0,5.0,1085.0,8.0,1084.0,2.0,1092.0,8.0,1093.0,2.0,1099.0,55.0,1090.0,104292.1953125,1088.5,0.8,8.5,-4.5,2015.1854,74.64736,1,65.0,15.0,1097.9538461538461,1085.8666666666666,4.0
25000,1084.0,8.0,1083.0,3.0,1077.0,47.0,1091.0,8.0,1092.0,3.0,1098.0,47.0,1087.5,109732.1953125,1087.75,0.8,8.5,-4.5,2014.7659,74.66266,1,58.0,58.0,1096.7241379310344,1078.2758620689656,7.0
25100,1085.0,8.0,1084.0,3.0,1078.0,48.0,1092.0,8.0,1093.0,3.0,1099.0,48.0,1088.5,109732.1953125,1088.75,0.8,8.5,-4.5,2014.346,74.67793,1,59.0,59.0,1097.7457627118645,1079.2542372881355,7.0
25200,1085.0,5.0,1084.0,4.0,1078.0,47.0,1092.0,5.0,1093.0,4.0,1099.0,47.0,1088.5,109732.1953125,1088.25,0.8,8.5,-4.5,2013.9255,74.693184,1,56.0,56.0,1097.9464285714287,1079.0535714285713,7.0
25300,1084.0,5.0,1083.0,5.0,1077.0,49.0,1092.0,5.0,1093.0,5.0,1099.0,49.0,1088.0,109732.1953125,1088.0,0.8,8.5,-4.5,2013.5048,74.70841,1,59.0,59.0,1097.8983050847457,1078.1016949152543,8.0
25400,1083.0,7.0,1082.0,4.0,1076.0,55.0,1090.0,7.0,1091.0,4.0,1097.0,55.0,1086.5,109732.1953125,1086.75,0.8,8.5,-4.5,2013.0834,74.723625,1,66.0,66.0,1095.8939393939395,1077.1060606060605,7.0
25500,1080.0,6.0,1079.0,2.0,1073.0,44.0,1087.0,6.0,1088.0,2.0,1094.0,44.0,1083.5,109732.1953125,1083.75,0.8,8.5,-4.5,2012.6616,74.73881,1,52.0,52.0,1092.9615384615386,1074.0384615384614,7.0
25600,1080.0,6.0,1079.0,2.0,1073.0,40.0,1087.0,6.0,1088.0,2.0,1094.0,40.0,1083.5,109732.1953125,1083.5,0.8,8.5,-4.5,2012.2394,74.753975,1,48.0,48.0,1092.875,1074.125,7.0
25700,1080.0,9.0,1079.0,5.0,1073.0,49.0,1087.0,9.0,1088.0,5.0,1094.0,49.0,1083.5,109732.1953125,1083.5,0.8,8.5,-4.5,2011.8167,74.76913,1,63.0,63.0,1092.5238095238096,1074.4761904761904,7.0
25800,1078.0,6.0,1077.0,2.0,1071.0,38.0,1085.0,6.0,1086.0,2.0,1092.0,38.0,1081.5,109732.1953125,1081.75,0.8,8.5,-4.5,2011.3934,74.78425,1,46.0,46.0,1090.8260869565217,1072.1739130434783,7.0
25900,1080.0,7.0,1079.0,4.0,1073.0,51.0,1087.0,7.0,1088.0,4.0,1094.0,51.0,1083.5,109732.1953125,1083.25,0.8,8.5,-4.5,2010.9698,74.799355,1,62.0,62.0,1092.8225806451612,1074.1774193548388,7.0
26000,1081.0,6.0,1080.0,3.0,1074.0,43.0,1088.0,6.0,1089.0,3.0,1095.0,43.0,1084.5,109732.1953125,1084.75,0.8,8.5,-4.5,2010.5458,74.81444,1,52.0,52.0,1093.8461538461538,1075.1538461538462,7.0
26100,1082.0,8.0,1081.0,5.0,1075.0,54.0,1089.0,8.0,1090.0,5.0,1096.0,54.0,1085.5,109732.1953125,1085.75,0.8,8.5,-4.5,2010.1212,74.829506,1,67.0,67.0,1094.7164179104477,1076.2835820895523,7.0
26200,1082.0,7.0,1081.0,5.0,1075.0,52.0,1089.0,7.0,1090.0,5.0,1096.0,52.0,1085.5,109732.1953125,1085.5,0.8,8.5,-4.5,2009.6962,74.84455,1,64.0,64.0,1094.765625,1076.234375,7.0
26300,1082.0,5.0,1081.0,4.0,1075.0,37.0,1089.0,5.0,1090.0,4.0,1096.0,37.0,1085.5,109732.1953125,1085.75,0.8,8.5,-4.5,2009.2708,74.85957,1,46.0,46.0,1094.7173913043478,1076.2826086956522,7.0
26400,1083.0,7.0,1082.0,4.0,1076.0,47.0,1090.0,7.0,1091.0,4.0,1097.0,47.0,1086.5,109732.1953125,1086.25,0.8,8.5,-4.5,2008.8448,74.87457,1,58.0,58.0,1095.7413793103449,1077.2586206896551,7.0
26500,1082.0,10.0,1081.0,4.0,1075.0,57.0,1089.0,10.0,1090.0,4.0,1096.0,57.0,1085.5,109732.1953125,1085.75,0.8,8.5,-4.5,2008.4185,74.88956,1,71.0,71.0,1094.6760563380283,1076.3239436619717,7.0
26600,1082.0,10.0,1081.0,2.0,1075.0,53.0,1089.0,10.0,1090.0,2.0,1096.0,53.0,1085.5,109732.1953125,1085.5,0.8,8.5,-4.5,2007.9917,74.90452,1,65.0,65.0,1094.7384615384615,1076.2615384615385,7.0
26700,1081.0,9.0,1080.0,5.0,1074.0,47.0,1088.0,9.0,1089.0,5.0,1095.0,47.0,1084.5,109732.1953125,1084.25,0.8,8.5,-4.5,2007.5645,74.919464,1,61.0,61.0,1093.4754098360656,1075.5245901639344,7.0
26800,1079.0,5.0,1078.0,4.0,1072.0,48.0,1086.0,5.0,1087.0,4.0,1093.0,48.0,1082.5,109732.1953125,1082.25,0.8,8.5,-4.5,2007.1368,74.93439,1,57.0,57.0,1091.9649122807018,1073.0350877192982,7.0
26900,1078.0,8.0,1077.0,2.0,1071.0,50.0,1085.0,8.0,1086.0,2.0,1092.0,50.0,1081.5,109732.1953125,1081.75,0.8,8.5,-4.5,2006.7087,74.94929,1,60.0,60.0,1090.8666666666666,1072.1333333333334,7.0
27000,1078.0,10.0,1077.0,4.0,1071.0,47.0,1085.0,10.0,1086.0,4.0,1092.0,47.0,1081.5,109732.1953125,1081.75,0.8,8.5,-4.5,2006.2802,74.96417,1,61.0,61.0,1090.4590163934427,1072.5409836065573,7.0
27100,1078.0,9.0,1077.0,3.0,1071.0,49.0,1085.0,9.0,1086.0,3.0,1092.0,49.0,1081.5,109732.1953125,1081.25,0.8,8.5,-4.5,2005.8512,74.979034,1,61.0,61.0,1090.672131147541,1072.327868852459,7.0
27200,1079.0,10.0,1078.0,5.0,1072.0,46.0,1086.0,10.0,1087.0,5.0,1093.0,46.0,1082.5,109732.1953125,1082.25,0.8,8.5,-4.5,2005.4218,74.99388,1,61.0,61.0,1091.360655737705,1073.639344262295,7.0
27300,1080.0,10.0,1079.0,3.0,1073.0,53.0,1087.0,10.0,1088.0,3.0,1094.0,53.0,1083.5,109732.1953125,1083.75,0.8,8.5,-4.5,2004.992,75.0087,1,66.0,66.0,1092.6666666666667,1074.3333333333333,7.0
27400,1079.0,7.0,1078.0,5.0,1072.0,45.0,1086.0,7.0,1087.0,5.0,1093.0,45.0,1082.5,109732.1953125,1082.75,0.8,8.5,-4.5,2004.5616,75.023506,1,57.0,57.0,1091.6140350877192,1073.3859649122808,7.0
27500,1079.0,10.0,1078.0,2.0,1072.0,46.0,1086.0,10.0,1087.0,2.0,1093.0,46.0,1082.5,109732.1953125,1082.25,0.8,8.5,-4.5,2004.131,75.03829,1,58.0,58.0,1091.5862068965516,1073.4137931034484,7.0
27600,1079.0,7.0,1078.0,2.0,1072.0,47.0,1086.0,7.0,1087.0,2.0,1093.0,47.0,1082.5,109732.1953125,1082.75,0.8,8.5,-4.5,2003.6998,75.053055,1,56.0,56.0,1091.9107142857142,1073.0892857142858,7.0
27700,1079.0,5.0,1078.0,3.0,1072.0,47.0,1086.0,5.0,1087.0,3.0,1093.0,47.0,1082.5,109732.1953125,1082.5,0.8,8.5,-4.5,2003.2683,75.0678,1,55.0,55.0,1092.0363636363636,1072.9636363636364,7.0
27800,1078.0,10.0,1077.0,3.0,1071.0,51.0,1085.0,10.0,1086.0,3.0,1092.0,51.0,1081.5,109732.1953125,1081.25,0.8,8.5,-4.5,2002.8363,75.08253,1,64.0,64.0,1090.625,1072.375,7.0
27900,1078.0,10.0,1077.0,4.0,1071.0,50.0,1085.0,10.0,1086.0,4.0,1092.0,50.0,1081.5,109732.1953125,1081.25,0.8,8.5,-4.5,2002.4039,75.09723,1,64.0,64.0,1090.53125,1072.46875,7.0
28000,1079.0,10.0,1078.0,5.0,1072.0,54.0,1086.0,10.0,1087.0,5.0,1093.0,54.0,1082.5,109732.1953125,1082.25,0.8,8.5,-4.5,2001.9712,75.11192,1,69.0,69.0,1091.5507246376812,1073.4492753623188,7.0
28100,1079.0,8.0,1078.0,5.0,1072.0,42.0,1086.0,8.0,1087.0,5.0,1093.0,42.0,1082.5,109732.1953125,1082.25,0.8,8.5,-4.5,2001.538,75.12659,1,55.0,55.0,1091.4363636363637,1073.5636363636363,7.0
28200,1079.0,5.0,1078.0,2.0,1072.0,45.0,1086.0,5.0,1087.0,2.0,1093.0,45.0,1082.5,109732.1953125,1082.75,0.8,8.5,-4.5,2001.1042,75.141235,1,52.0,52.0,1092.0961538461538,1072.9038461538462,7.0
28300,1078.0,6.0,1077.0,2.0,1071.0,42.0,1085.0,6.0,1086.0,2.0,1092.0,42.0,1081.5,109732.1953125,1081.75,0.8,8.5,-4.5,2000.6703,75.15587,1,50.0,50.0,1090.92,1072.08,7.0
28400,1079.0,5.0,1078.0,5.0,1072.0,40.0,1086.0,5.0,1087.0,5.0,1093.0,40.0,1082.5,109732.1953125,1082.75,0.8,8.5,-4.5,2000.2358,75.17048,1,50.0,50.0,1091.7,1073.3,7.0
28500,1080.0,7.0,1079.0,2.0,1073.0,46.0,1087.0,7.0,1088.0,2.0,1094.0,46.0,1083.5,109732.1953125,1083.75,0.8,8.5,-4.5,1999.8009,75.185074,1,55.0,55.0,1092.8909090909092,1074.1090909090908,7.0
28600,1083.0,10.0,1082.0,3.0,1076.0,52.0,1090.0,10.0,1091.0,3.0,1097.0,52.0,1086.5,109732.1953125,1086.75,0.8,8.5,-4.5,1999.3657,75.199646,1,65.0,65.0,1095.6461538461538,1077.3538461538462,7.0
28700,1084.0,8.0,1083.0,2.0,1077.0,49.0,1091.0,8.0,1092.0,2.0,1098.0,49.0,1087.5,109732.1953125,1087.25,0.8,8.5,-4.5,1998.9299,75.2142,1,59.0,59.0,1096.8474576271187,1078.1525423728813,7.0
28800,1085.0,10.0,1084.0,5.0,1078.0,58.0,1092.0,10.0,1093.0,5.0,1099.0,58.0,1088.5,109732.1953125,1088.25,0.8,8.5,-4.5,1998.4939,75.22874,1,73.0,73.0,1097.6301369863013,1079.3698630136987,7.0
28900,1086.0,10.0,1085.0,5.0,1079.0,45.0,1093.0,10.0,1094.0,5.0,1100.0,45.0,1089.5,109732.1953125,1089.25,0.8,8.5,-4.5,1998.0574,75.243256,1,60.0,60.0,1098.3333333333333,1080.6666666666667,7.0
29000,1087.0,8.0,1086.0,2.0,1080.0,47.0,1094.0,8.0,1095.0,2.0,1101.0,47.0,1090.5,109732.1953125,1090.75,0.8,8.5,-4.5,1997.6206,75.25775,1,57.0,57.0,1099.8070175438597,1081.1929824561403,7.0
29100,1092.0,3.0,1087.0,8.0,1086.0,2.0,1094.0,8.0,1095.0,2.0,1101.0,49.0,1093.0,106468.796875,1090.75,0.8,8.5,-4.5,1997.1832,75.27223,1,59.0,13.0,1099.8474576271187,1088.0,2.0
29200,1086.0,8.0,1085.0,5.0,1079.0,45.0,1093.0,8.0,1094.0,5.0,1100.0,45.0,1089.5,109744.796875,1089.75,0.8,8.5,-4.5,1996.7456,75.2867,1,58.0,58.0,1098.5172413793102,1080.4827586206898,7.0
29300,1086.0,10.0,1085.0,2.0,1079.0,43.0,1094.0,10.0,1095.0,2.0,1101.0,43.0,1090.0,109744.796875,1090.0,0.8,8.5,-4.5,1996.3075,75.30114,1,55.0,55.0,1099.509090909091,1080.490909090909,8.0
29400,1086.0,8.0,1085.0,4.0,1079.0,44.0,1093.0,8.0,1094.0,4.0,1100.0,44.0,1089.5,109744.796875,1089.25,0.8,8.5,-4.5,1995.8691,75.31557,1,56.0,56.0,1098.5714285714287,1080.4285714285713,7.0
29500,1085.0,6.0,1084.0,4.0,1078.0,40.0,1092.0,6.0,1093.0,4.0,1099.0,40.0,1088.5,109744.796875,1088.25,0.8,8.5,-4.5,1995.4303,75.32997,1,50.0,50.0,1097.68,1079.32,7.0
29600,1086.0,9.0,1085.0,2.0,1079.0,52.0,1093.0,9.0,1094.0,2.0,1100.0,52.0,1089.5,109744.796875,1089.25,0.8,8.5,-4.5,1994.991,75.34436,1,63.0,63.0,1098.8095238095239,1080.1904761904761,7.0
29700,1087.0,10.0,1086.0,3.0,1080.0,52.0,1094.0,10.0,1095.0,3.0,1101.0,52.0,1090.5,109744.796875,1090.25,0.8,8.5,-4.5,1994.5514,75.358734,1,65.0,65.0,1099.6461538461538,1081.3538461538462,7.0
29800,1088.0,9.0,1087.0,4.0,1081.0,43.0,1095.0,9.0,1096.0,4.0,1102.0,43.0,1091.5,109744.796875,1091.75,0.8,8.5,-4.5,1994.1115,75.373085,1,56.0,56.0,1100.4464285714287,1082.5535714285713,7.0
29900,1088.0,8.0,1087.0,5.0,1081.0,51.0,1095.0,8.0,1096.0,5.0,1102.0,51.0,1091.5,109744.796875,1091.75,0.8,8.5,-4.5,1993.671,75.38742,1,64.0,64.0,1100.65625,1082.34375,7.0
30000,1088.0,7.0,1087.0,2.0,1081.0,45.0,1095.0,7.0,1096.0,2.0,1102.0,45.0,1091.5,109744.796875,1091.75,0.8,8.5,-4.5,1993.2302,75.40174,1,54.0,54.0,1100.8703703703704,1082.1296296296296,7.0
30100,1087.0,7.0,1086.0,2.0,1080.0,51.0,1094.0,7.0,1095.0,2.0,1101.0,51.0,1090.5,109744.796875,1090.75,0.8,8.5,-4.5,1992.7891,75.41604,1,60.0,60.0,1099.9833333333333,1081.0166666666667,7.0
30200,1087.0,9.0,1086.0,3.0,1080.0,50.0,1094.0,9.0,1095.0,3.0,1101.0,50.0,1090.5,109744.796875,1090.75,0.8,8.5,-4.5,1992.3477,75.43032,1,62.0,62.0,1099.6935483870968,1081.3064516129032,7.0
30300,1087.0,6.0,1086.0,3.0,1080.0,39.0,1094.0,6.0,1095.0,3.0,1101.0,39.0,1090.5,109744.796875,1090.75,0.8,8.5,-4.5,1991.9058,75.44459,1,48.0,48.0,1099.75,1081.25,7.0
30400,1087.0,8.0,1086.0,2.0,1080.0,44.0,1094.0,8.0,1095.0,2.0,1101.0,44.0,1090.5,109744.796875,1090.75,0.8,8.5,-4.5,1991.4635,75.45884,1,54.0,54.0,1099.7407407407406,1081.2592592592594,7.0
30500,1087.0,6.0,1086.0,3.0,1080.0,40.0,1095.0,6.0,1096.0,3.0,1102.0,40.0,1091.0,109744.796875,1091.0,0.8,8.5,-4.5,1991.0209,75.47307,1,49.0,49.0,1100.7755102040817,1081.2244897959183,8.0
30600,1089.0,7.0,1088.0,2.0,1082.0,51.0,1096.0,7.0,1097.0,2.0,1103.0,51.0,1092.5,109744.796875,1092.75,0.8,8.5,-4.5,1990.5779,75.48728,1,60.0,60.0,1101.9833333333333,1083.0166666666667,7.0
30700,1089.0,6.0,1088.0,2.0,1082.0,42.0,1097.0,6.0,1098.0,2.0,1104.0,42.0,1093.0,109744.796875,1093.0,0.8,8.5,-4.5,1990.1344,75.50147,1,50.0,50.0,1102.92,1083.08,8.0
30800,1089.0,5.0,1088.0,2.0,1082.0,49.0,1097.0,5.0,1098.0,2.0,1104.0,49.0,1093.0,109744.796875,1093.0,0.8,8.5,-4.5,1989.6907,75.51565,1,56.0,56.0,1103.1607142857142,1082.8392857142858,8.0
30900,1091.0,7.0,1090.0,3.0,1084.0,41.0,1098.0,7.0,1099.0,3.0,1105.0,41.0,1094.5,109744.796875,1094.75,0.8,8.5,-4.5,1989.2466,75.52981,1,51.0,51.0,1103.686274509804,1085.313725490196,7.0
31000,1091.0,10.0,1090.0,2.0,1084.0,51.0,1098.0,10.0,1099.0,2.0,1105.0,51.0,1094.5,109744.796875,1094.25,0.8,8.5,-4.5,1988.8021,75.54395,1,63.0,63.0,1103.6984126984128,1085.3015873015872,7.0
31100,1090.0,6.0,1089.0,5.0,1083.0,48.0,1097.0,6.0,1098.0,5.0,1104.0,48.0,1093.5,109744.796875,1093.75,0.8,8.5,-4.5,1988.3573,75.55808,1,59.0,59.0,1102.7796610169491,1084.2203389830509,7.0
31200,1089.0,9.0,1088.0,4.0,1082.0,46.0,1093.0,7.0,1096.0,9.0,1097.0,4.0,1091.0,109744.796875,1092.25,0.8,8.5,-4.5,1987.9122,75.57219,1,20.0,59.0,1095.15,1083.4745762711864,4.0
31300,1088.0,8.0,1087.0,2.0,1081.0,47.0,1095.0,8.0,1096.0,2.0,1102.0,47.0,1091.5,109744.796875,1091.75,0.8,8.5,-4.5,1987.4667,75.58628,1,57.0,57.0,1100.8070175438597,1082.1929824561403,7.0
31400,1087.0,6.0,1086.0,5.0,1080.0,45.0,1094.0,6.0,1095.0,5.0,1101.0,45.0,1090.5,109744.796875,1090.25,0.8,8.5,-4.5,1987.0208,75.60036,1,56.0,56.0,1099.7142857142858,1081.2857142857142,7.0
31500,1087.0,6.0,1086.0,2.0,1080.0,44.0,1094.0,6.0,1095.0,2.0,1101.0,44.0,1090.5,109744.796875,1090.25,0.8,8.5,-4.5,1986.5746,75.61442,1,52.0,52.0,1099.9615384615386,1081.0384615384614,7.0
31600,1087.0,6.0,1086.0,4.0,1080.0,36.0,1094.0,6.0,1095.0,4.0,1101.0,36.0,1090.5,109744.796875,1090.75,0.8,8.5,-4.5,1986.1279,75.628456,1,46.0,46.0,1099.5652173913043,1081.4347826086957,7.0
31700,1088.0,10.0,1087.0,2.0,1081.0,47.0,1095.0,10.0,1096.0,2.0,1102.0,47.0,1091.5,109744.796875,1091.25,0.8,8.5,-4.5,1985.681,75.64248,1,59.0,59.0,1100.6101694915253,1082.3898305084747,7.0
31800,1086.0,7.0,1085.0,4.0,1079.0,52.0,1093.0,7.0,1094.0,4.0,1100.0,52.0,1089.5,109744.796875,1089.25,0.8,8.5,-4.5,1985.2338,75.656494,1,63.0,63.0,1098.8412698412699,1080.1587301587301,7.0
31900,1087.0,9.0,1086.0,3.0,1080.0,56.0,1094.0,9.0,1095.0,3.0,1101.0,56.0,1090.5,109744.796875,1090.75,0.8,8.5,-4.5,1984.7861,75.67049,1,68.0,68.0,1099.8088235294117,1081.1911764705883,7.0
32000,1086.0,8.0,1085.0,4.0,1079.0,53.0,1093.0,8.0,1094.0,4.0,1100.0,53.0,1089.5,109744.796875,1089.75,0.8,8.5,-4.5,1984.3381,75.684456,1,65.0,65.0,1098.7692307692307,1080.2307692307693,7.0
32100,1085.0,8.0,1084.0,4.0,1078.0,43.0,1092.0,8.0,1093.0,4.0,1099.0,43.0,1088.5,109744.796875,1088.75,0.8,8.5,-4.5,1983.8899,75.69842,1,55.0,55.0,1097.5454545454545,1079.4545454545455,7.0
32200,1084.0,8.0,1083.0,5.0,1077.0,45.0,1091.0,8.0,1092.0,5.0,1098.0,45.0,1087.5,109744.796875,1087.25,0.8,8.5,-4.5,1983.4412,75.712364,1,58.0,58.0,1096.5172413793102,1078.4827586206898,7.0
32300,1085.0,5.0,1084.0,4.0,1078.0,51.0,1092.0,5.0,1093.0,4.0,1099.0,51.0,1088.5,109744.796875,1088.25,0.8,8.5,-4.5,1982.9922,75.72629,1,60.0,60.0,1098.0166666666667,1078.9833333333333,7.0
32400,1084.0,5.0,1083.0,5.0,1077.0,50.0,1091.0,5.0,1092.0,5.0,1098.0,50.0,1087.5,109744.796875,1087.75,0.8,8.5,-4.5,1982.543,75.7402,1,60.0,60.0,1096.9166666666667,1078.0833333333333,7.0
32500,1084.0,6.0,1083.0,3.0,1077.0,45.0,1088.0,5.0,1091.0,6.0,1092.0,3.0,1086.0,109744.796875,1087.75,0.8,8.5,-4.5,1982.0933,75.75409,1,14.0,54.0,1090.142857142857,1078.111111111111,4.0
32600,1084.0,5.0,1083.0,2.0,1077.0,48.0,1091.0,5.0,1092.0,2.0,1098.0,48.0,1087.5,109744.796875,1087.75,0.8,8.5,-4.5,1981.6433,75.76797,1,55.0,55.0,1097.1454545454546,1077.8545454545454,7.0
32700,1084.0,7.0,1083.0,5.0,1077.0,45.0,1091.0,7.0,1092.0,5.0,1098.0,45.0,1087.5,109744.796875,1087.25,0.8,8.5,-4.5,1981.193,75.78183,1,57.0,57.0,1096.6140350877192,1078.3859649122808,7.0
32800,1085.0,8.0,1084.0,5.0,1078.0,51.0,1092.0,8.0,1093.0,5.0,1099.0,51.0,1088.5,109744.796875,1088.25,0.8,8.5,-4.5,1980.7424,75.79568,1,64.0,64.0,1097.65625,1079.34375,7.0
32900,1085.0,7.0,1084.0,3.0,1078.0,48.0,1092.0,7.0,1093.0,3.0,1099.0,48.0,1088.5,109744.796875,1088.25,0.8,8.5,-4.5,1980.2914,75.80951,1,58.0,58.0,1097.844827586207,1079.155172413793,7.0
33000,1085.0,10.0,1084.0,2.0,1078.0,43.0,1092.0,10.0,1093.0,2.0,1099.0,43.0,1088.5,109744.796875,1088.25,0.8,8.5,-4.5,1979.8401,75.823326,1,55.0,55.0,1097.509090909091,1079.490909090909,7.0
33100,1086.0,6.0,1085.0,2.0,1079.0,40.0,1090.0,8.0,1093.0,6.0,1094.0,2.0,1088.0,109744.796875,1089.75,0.8,8.5,-4.5,1979.3885,75.83712,1,16.0,48.0,1091.625,1080.125,4.0
33200,1085.0,7.0,1084.0,2.0,1078.0,45.0,1092.0,7.0,1093.0,2.0,1099.0,45.0,1088.5,109744.796875,1088.75,0.8,8.5,-4.5,1978.9366,75.85091,1,54.0,54.0,1097.8703703703704,1079.1296296296296,7.0
33300,1085.0,7.0,1084.0,3.0,1078.0,45.0,1092.0,7.0,1093.0,3.0,1099.0,45.0,1088.5,109744.796875,1088.75,0.8,8.5,-4.5,1978.4844,75.86468,1,55.0,55.0,1097.7818181818182,1079.2181818181818,7.0
33400,1086.0,9.0,1085.0,3.0,1079.0,41.0,1090.0,8.0,1093.0,9.0,1094.0,3.0,1088.0,109744.796875,1089.25,0.8,8.5,-4.5,1978.0319,75.878426,1,20.0,53.0,1091.95,1080.5283018867924,4.0
33500,1085.0,7.0,1084.0,5.0,1078.0,49.0,1092.0,7.0,1093.0,5.0,1099.0,49.0,1088.5,109744.796875,1088.75,0.8,8.5,-4.5,1977.579,75.892166,1,61.0,61.0,1097.704918032787,1079.295081967213,7.0
33600,1086.0,10.0,1085.0,2.0,1079.0,55.0,1093.0,10.0,1094.0,2.0,1100.0,55.0,1089.5,109744.796875,1089.75,0.8,8.5,-4.5,1977.1257,75.90588,1,67.0,67.0,1098.7761194029852,1080.2238805970148,7.0
33700,1088.0,7.0,1087.0,2.0,1081.0,51.0,1095.0,7.0,1096.0,2.0,1102.0,51.0,1091.5,109744.796875,1091.75,0.8,8.5,-4.5,1976.6722,75.91959,1,60.0,60.0,1100.9833333333333,1082.0166666666667,7.0
33800,1090.0,7.0,1089.0,4.0,1083.0,42.0,1097.0,7.0,1098.0,4.0,1104.0,42.0,1093.5,109744.796875,1093.75,0.8,8.5,-4.5,1976.2185,75.93328,1,53.0,53.0,1102.622641509434,1084.377358490566,7.0
33900,1091.0,7.0,1090.0,2.0,1084.0,46.0,1098.0,7.0,1099.0,2.0,1105.0,46.0,1094.5,109744.796875,1094.25,0.8,8.5,-4.5,1975.7644,75.94696,1,55.0,55.0,1103.8909090909092,1085.1090909090908,7.0
34000,1091.0,7.0,1090.0,4.0,1084.0,49.0,1098.0,7.0,1099.0,4.0,1105.0,49.0,1094.5,109744.796875,1094.25,0.8,8.5,-4.5,1975.3099,75.96062,1,60.0,60.0,1103.7833333333333,1085.2166666666667,7.0
34100,1092.0,9.0,1091.0,3.0,1085.0,53.0,1099.0,9.0,1100.0,3.0,1106.0,53.0,1095.5,109744.796875,1095.25,0.8,8.5,-4.5,1974.8552,75.974266,1,65.0,65.0,1104.753846153846,1086.246153846154,7.0
34200,1090.0,8.0,1089.0,5.0,1083.0,47.0,1097.0,8.0,1098.0,5.0,1104.0,47.0,1093.5,109744.796875,1093.25,0.8,8.5,-4.5,1974.4003,75.9879,1,60.0,60.0,1102.5666666666666,1084.4333333333334,7.0
34300,1090.0,9.0,1089.0,3.0,1083.0,49.0,1097.0,9.0,1098.0,3.0,1104.0,49.0,1093.5,109744.796875,1093.75,0.8,8.5,-4.5,1973.945,76.00151,1,61.0,61.0,1102.672131147541,1084.327868852459,7.0
34400,1090.0,8.0,1089.0,2.0,1083.0,46.0,1098.0,8.0,1099.0,2.0,1105.0,46.0,1094.0,109744.796875,1094.0,0.8,8.5,-4.5,1973.4894,76.015114,1,56.0,56.0,1103.7857142857142,1084.2142857142858,8.0
34500,1091.0,7.0,1090.0,3.0,1084.0,47.0,1098.0,7.0,1099.0,3.0,1105.0,47.0,1094.5,109744.796875,1094.25,0.8,8.5,-4.5,1973.0334,76.0287,1,57.0,57.0,1103.8245614035088,1085.1754385964912,7.0
34600,1089.0,6.0,1088.0,4.0,1082.0,44.0,1096.0,6.0,1097.0,4.0,1103.0,44.0,1092.5,109744.796875,1092.75,0.8,8.5,-4.5,1972.5773,76.042274,1,54.0,54.0,1101.7777777777778,1083.2222222222222,7.0
34700,1091.0,7.0,1090.0,3.0,1084.0,56.0,1098.0,7.0,1099.0,3.0,1105.0,56.0,1094.5,109744.796875,1094.25,0.8,8.5,-4.5,1972.1207,76.05583,1,66.0,66.0,1103.9848484848485,1085.0151515151515,7.0
34800,1092.0,5.0,1091.0,3.0,1085.0,42.0,1099.0,5.0,1100.0,3.0,1106.0,42.0,1095.5,109744.796875,1095.75,0.8,8.5,-4.5,1971.664,76.069374,1,50.0,50.0,1104.94,1086.06,7.0
34900,1093.0,7.0,1092.0,3.0,1086.0,47.0,1100.0,7.0,1101.0,3.0,1107.0,47.0,1096.5,109744.796875,1096.25,0.8,8.5,-4.5,1971.2069,76.0829,1,57.0,57.0,1105.8245614035088,1087.1754385964912,7.0
35000,1093.0,10.0,1092.0,2.0,1086.0,44.0,1100.0,10.0,1101.0,2.0,1107.0,44.0,1096.5,109744.796875,1096.25,0.8,8.5,-4.5,1970.7496,76.09641,1,56.0,56.0,1105.5357142857142,1087.4642857142858,7.0
35100,1094.0,5.0,1093.0,3.0,1087.0,41.0,1101.0,5.0,1102.0,3.0,1108.0,41.0,1097.5,109744.796875,1097.25,0.8,8.5,-4.5,1970.292,76.10992,1,49.0,49.0,1106.9183673469388,1088.0816326530612,7.0
35200,1093.0,7.0,1092.0,4.0,1086.0,38.0,1100.0,7.0,1101.0,4.0,1107.0,38.0,1096.5,109744.796875,1096.25,0.8,8.5,-4.5,1969.834,76.1234,1,49.0,49.0,1105.5102040816328,1087.4897959183672,7.0
35300,1092.0,10.0,1091.0,2.0,1085.0,60.0,1099.0,10.0,1100.0,2.0,1106.0,60.0,1095.5,109744.796875,1095.75,0.8,8.5,-4.5,1969.3759,76.13687,1,72.0,72.0,1104.861111111111,1086.138888888889,7.0
35400,1091.0,7.0,1090.0,2.0,1084.0,43.0,1098.0,7.0,1099.0,2.0,1105.0,43.0,1094.5,109744.796875,1094.25,0.8,8.5,-4.5,1968.9174,76.15033,1,52.0,52.0,1103.826923076923,1085.173076923077,7.0
35500,1090.0,5.0,1089.0,4.0,1083.0,38.0,1098.0,5.0,1099.0,4.0,1105.0,38.0,1094.0,109744.796875,1094.0,0.8,8.5,-4.5,1968.4586,76.16377,1,47.0,47.0,1103.7446808510638,1084.2553191489362,8.0
